,Year,wind_10m,specific_humidity,LW_down,SW_down,rainfall,snowfall,sosaline,sst,t2m,surface_pressure,sea_ice_extent
0,1979.0,-0.137108849599,-0.0811210209984,-0.111953123678,-0.00209640687669,-0.0929600331389,-0.0261423021599,-0.0420254054848,-0.241799202093,-0.127402175254,0.175700320133,0.272275408916
1,1980.0,-0.065214743956,-0.0630389952835,-0.0718844136856,0.00227119480168,-0.244298054977,-0.0653444696378,0.0525639950361,-0.161842484055,-0.0687411856003,0.369801196021,0.274847394454
2,1981.0,0.0492795270133,-0.0263248604709,0.0135395482255,-0.00494141578952,0.0225512324769,0.129185265456,-0.102048150373,-0.23977674574,0.00546279544887,0.0988495730661,0.212016378841
3,1982.0,-0.0233992992442,-0.0961867626184,-0.109185690399,0.0122348901151,-0.0527843328424,0.0651279454012,0.147163908024,-0.286129718954,-0.114224750843,-0.0145265399728,0.308916578465
4,1983.0,-0.0164511270819,-0.0556980325061,-0.0638067450289,-0.0107296108884,0.0108136764461,0.0877562527166,-0.000392633821076,-0.295201267111,-0.0644219091545,-0.10020914954,0.274048854284
5,1984.0,-0.13657783205,-0.0196075327135,-0.045312934169,-0.00654806776476,-0.0703396413437,-0.0359333769862,-0.0551554144395,-0.16307833012,-0.0629593885457,0.169137488205,0.145556171382
6,1985.0,-0.0893598616881,-0.062462592,-0.0618750552391,0.0107287557988,-0.136356950029,-0.0257104202907,0.211238821399,-0.161153157574,-0.0612287693822,0.424979652422,0.169759264581
7,1986.0,-0.117317833919,-0.0729124720018,-0.0796371676627,0.00271801502271,-0.0259046524538,0.0502749976581,0.0549337341576,-0.202556084933,-0.0815361135688,-0.149032081611,0.234557186615
8,1987.0,-0.123607593726,-0.0846271495007,-0.102670190276,0.00787482296924,-0.213237166697,-0.0671933946129,-0.00871474590396,-0.173663954498,-0.124815673628,0.220349786708,0.228979503346
9,1988.0,-0.0116499083029,-0.0201303102136,-0.0424406049906,0.00201006601677,-0.0538651963186,-0.00627046390153,0.0366461020827,-0.186587222944,-0.0540033926535,-0.148944350744,0.162665766828
10,1989.0,0.0661504602136,-0.0108220485282,-0.0444245206105,-0.00405348039273,0.170879927358,0.153346387684,0.230667001056,-0.184239520799,-0.0586492708068,-0.501602961941,0.161953902455
11,1990.0,0.142751634917,0.00175502006229,-0.0251042851243,0.000605891129119,0.0942191304863,0.123545892642,0.181929627437,-0.0778137016898,-0.033066727473,-0.516713172001,0.0780571633228
12,1991.0,0.0973659896995,0.0191714842179,-0.0154257328518,0.0097045380003,-0.0102926656995,0.00773298238889,0.00575050613468,-0.0741476419579,-0.0226714183186,-0.156032976776,0.0950836417926
13,1992.0,0.0923669884994,-0.116980332202,-0.115105784074,0.00528268557861,-0.0235197710492,0.22665522541,0.100712073398,-0.212021621906,-0.10546317754,-0.331141543913,0.206100035042
14,1993.0,0.162020625561,-0.0480944312848,-0.059361451767,-0.00360635334259,-0.0217474828427,0.127026319799,0.24724299246,-0.200085884545,-0.0598818766533,-0.126387462603,0.148496469494
15,1994.0,0.042925048401,-0.0544323111078,-0.086072806838,0.0090875547203,-0.0865054559096,-0.00682700081776,-0.0404197976732,-0.189158040182,-0.0760641463803,-0.26493475457,0.175633741999
16,1995.0,0.0283527029088,0.0237438234234,0.0273863262479,-0.0130723361111,-0.003710588778,-0.0060219636475,0.045332862955,-0.108060015546,0.0297322590225,0.0320172076575,-0.00760053764533
17,1996.0,0.0421240730324,-0.0691848046502,-0.0291266651314,0.0107537702411,-0.0588835625929,0.11137882386,-0.0668097920821,-0.135245573137,-0.0204816266022,0.29566709995,0.123217731611
18,1997.0,0.045795595412,-0.0240840278947,-0.0355799954591,-0.00136218044309,-0.0480846151331,0.00766835029117,-0.199595900104,-0.0776921076238,-0.0309011898539,-0.143988429574,0.0699941357528
19,1998.0,-0.088071631215,-0.00558237155515,-0.0268441161449,-0.00359538379891,-0.0383561982787,-0.0932393597729,-0.377594734788,-0.0537008483944,-0.0380466352045,0.150453441303,0.0975934984756
20,1999.0,-0.198110440568,-0.0567182686417,-0.0659800745909,0.00146052146516,-0.137435224847,-0.0878694128736,-0.220703787165,-0.0889531236081,-0.0671100366443,0.0162230776745,0.0773303356812
21,2000.0,-0.0243846227164,-0.0247439620356,-0.0327313956994,0.0109666759175,-0.0445434734219,-0.00632885539653,-0.0176200601517,-0.0492908025178,-0.0175815038087,0.0646215801048,0.0209905138187
22,2001.0,-0.078061924131,-0.00787020834941,-0.0203867097665,0.0144963395285,-0.0725582626129,-0.0106774352974,0.238322013255,0.0110154623203,-0.0100051606022,0.0383268442787,0.0492177773895
23,2002.0,-0.0445473532451,0.0092993955832,-0.00340824519497,0.0128283636661,-0.0666713663183,-0.0636827282998,0.267965736896,0.0625432011967,0.0104960375693,-0.0530793941745,-0.0236605149426
24,2003.0,0.0230039077861,0.0503022897124,0.0305691407992,0.0101898222918,0.0777536993395,0.0302190618373,0.223850986884,0.191627276353,0.0433331675356,-0.169082719667,-0.0131007120429
25,2004.0,-0.110576626447,-0.00688867027765,-0.0195944960068,-0.00184203685309,-0.0546199448996,-0.0600748551679,0.0304976444065,0.155935049486,-0.0320374544517,0.177578895411,-0.0612895032013
26,2005.0,0.0376395668505,0.0682715824465,0.0973131210872,-0.0053933176493,0.074803119599,-0.0867245944488,-0.210470357463,0.102490438452,0.0896203698579,0.225995827818,-0.163769845869
27,2006.0,-0.0202123214248,0.0560411205754,0.0657448161871,-0.00858543498528,0.0807136855102,-0.0326871619995,-0.502162434155,0.144656111807,0.057822610852,-0.0025228104916,-0.205068804886
28,2007.0,0.0621280630848,0.081392500299,0.0880440099587,-0.00580969088758,0.173143602287,-0.0350419690754,-0.23879545897,0.217375822968,0.0976106919728,-0.207627049397,-0.296807735341
29,2008.0,0.0448373664582,0.0147242068167,0.0325397286496,-0.000184964269121,0.0873654119942,0.0653364298698,-0.0386569963589,0.179799032236,0.0469650572198,-0.0525761584886,-0.141982113773
30,2009.0,-0.0440131853687,0.00464955152702,0.018639813969,0.00747076966059,-0.133054475996,-0.136504003825,0.14293123568,0.177306555279,0.0325062850396,0.327273380474,-0.156090160217
31,2010.0,-0.0435783567051,0.0618651836978,0.0922397876947,-0.0152070438632,-0.0625672116763,-0.159348307065,-0.0745932207115,0.279771616662,0.0933227029611,0.490145637773,-0.223881082586
32,2011.0,0.127400991693,0.0775505899555,0.0936100653345,-0.00482379954531,0.136921376176,-0.0254639370512,-0.182894050107,0.211577768618,0.101967883883,-0.344014285738,-0.293919904506
33,2012.0,-0.0403372700225,0.0707935956431,0.0960452642308,-0.0180873401845,0.0435655063364,-0.147515653423,-0.213943345234,0.252479251676,0.0964111007189,0.277465381603,-0.31771060147
34,2013.0,0.0173755845984,0.0226215800786,0.0244270620589,0.0103261778449,0.0127372095442,-0.0104583631383,-0.214445096666,0.144455512703,0.0391948782546,0.157965743889,-0.166803414734
35,2014.0,0.048339765092,0.063566118324,0.0888783979366,-0.0041368784598,0.0716804083423,-0.0206871071112,-0.277700390077,0.253810483067,0.0880202507914,-0.00492120740952,-0.199568348417
36,2015.0,0.127628234482,0.0559526233201,0.0761406019379,-0.016980769747,0.207523259872,0.0398880896459,-0.307033310822,0.161713655782,0.0750300868938,-0.324974057165,-0.268620312908
37,2016.0,0.026480951966,0.155776609394,0.177504714316,-0.00225519006847,0.0713925007745,-0.106542489492,-0.120012219819,0.378048521778,0.185984498672,0.115073939423,-0.39227318934
38,2017.0,0.119732955665,0.082862484454,0.135241050891,-0.0040919898272,0.263836014589,0.133770803346,-0.0502367442276,0.346517709776,0.134577870379,-0.172826801672,-0.321817647711
39,2018.0,0.00938193060773,0.0873886113181,0.110186033185,-0.00361364738598,0.15334929611,-0.0365556965283,1.34507419715,0.290914139163,0.103322452534,-0.0450544227025,-0.333382154286
